dataset,split,conversation_id,turn_idx,emotion_top1,emotion_top1_score,p01,p05,p10,pi,cep,uiop,pop_mean_pct,genre_js,genre_entropy,year_decade_js,year_decade_entropy,mean_year,redundancy_new,redundancy_repeated,stereotype_label,stereotype_score_0,stereotype_score_1,emo_curiosity,emo_neutral,emo_confusion,emo_approval,emo_annoyance,emo_disapproval,emo_love,emo_admiration,emo_joy,emo_disappointment,emo_realization,emo_surprise,emo_excitement,emo_amusement,emo_desire,emo_optimism,emo_gratitude,emo_sadness,emo_fear,emo_disgust,emo_caring,emo_anger,emo_relief,emo_embarrassment,emo_nervousness,emo_remorse,emo_grief,emo_pride,rec_turn_order
redial,train,407,17,neutral,0.867,0.000,1.000,1.000,0.975,1.000,1.000,0.975,0.493,1.099,0.320,0.000,2017.000,1,0,1,,0.604,,0.867,,0.011,,,,,0.015,,,0.011,0.062,,,,,,,,,,,,,,,,4
redial,train,411,9,neutral,0.846,0.000,0.000,1.000,0.916,,,0.916,0.463,1.099,0.320,0.000,2017.000,1,0,1,,0.574,,0.846,,0.018,0.018,0.144,,,,,0.012,,,,,,,,,,,,,,,,,,0
redial,train,411,13,love,0.960,0.000,0.000,0.000,0.851,0.000,,0.851,0.463,0.000,0.320,0.000,2017.000,1,0,0,0.790,,,,,0.019,,,0.960,0.044,0.026,,,,,0.009,,,,,,,,,,,,,,,1
redial,train,415,3,love,0.943,0.000,0.000,0.000,0.851,,,0.851,0.463,0.000,0.320,0.000,2017.000,1,0,0,0.576,,,0.017,,0.025,,,0.943,0.040,0.021,,,,,,,,,,,,,,,,,,,,0
redial,train,415,7,love,0.853,0.000,1.000,1.000,0.979,0.000,,0.979,0.584,0.000,0.320,0.000,2017.000,1,0,0,0.880,,,0.021,,0.064,,,0.853,0.230,0.016,,,,,,,,,,,,,,,,,,,,1
redial,train,415,9,curiosity,0.562,0.000,1.000,1.000,0.979,1.000,,0.979,0.584,0.000,0.320,0.000,2017.000,0,1,0,0.785,,0.562,0.532,0.050,0.010,,,,,,,,,0.012,,,,,,,,,,,,,,,,2
redial,train,415,11,love,0.736,0.000,0.000,0.000,0.851,0.000,0.000,0.851,0.463,0.000,0.320,0.000,2017.000,0,1,1,,0.610,,0.054,,0.021,,,0.736,,,,,,,,0.350,0.031,,,,,,,,,,,,,3
redial,train,418,1,neutral,0.952,1.000,1.000,1.000,0.998,,,0.998,0.336,1.386,0.419,0.000,2001.000,1,0,1,,0.706,,0.952,0.004,0.024,0.005,,,,,,0.020,,,,,,,,,,,,,,,,,,0
redial,train,418,5,love,0.514,0.000,0.000,0.000,0.000,0.000,,0.000,0.390,0.000,0.667,0.000,1929.000,1,0,1,,0.775,,0.052,0.056,0.132,,,0.514,0.287,,,,,,,,,,,,,,,,,,,,,1
redial,train,418,7,amusement,0.851,0.000,0.000,0.000,0.770,0.000,0.000,0.770,0.317,1.099,0.517,0.000,1997.000,1,0,1,,0.516,,0.034,,0.054,,,,0.180,0.077,,,,,0.851,,,,,,,,,,,,,,,2
redial,train,418,11,admiration,0.920,0.000,0.500,0.500,0.855,0.689,,0.880,0.317,1.099,0.517,0.000,1993.500,1,1,1,,0.652,,0.031,,0.105,,,,0.920,,,0.008,,,,,,0.008,,,,,,,,,,,,3
redial,train,418,13,neutral,0.698,1.000,1.000,1.000,1.000,0.689,1.000,1.000,0.229,1.386,0.517,0.000,1994.000,1,0,1,,0.514,0.323,0.698,0.172,0.012,,,,,,,,0.006,,,,,,,,,,,,,,,,,4
redial,train,419,1,joy,0.876,0.000,0.000,0.000,0.000,,,0.000,0.390,0.000,0.667,0.000,1929.000,1,0,0,0.925,,,,,0.044,,,0.313,0.239,0.876,,,,0.065,,,,,,,,,,,,,,,,0
redial,train,419,3,joy,0.706,0.000,0.000,0.000,0.000,1.000,,0.000,0.390,0.000,0.667,0.000,1929.000,0,1,1,,0.628,,,,,0.041,,,,0.706,0.084,,,,0.035,,,,0.068,,,,,,,,,,,1
redial,train,419,13,love,0.742,0.000,0.000,1.000,0.922,0.000,,0.922,0.463,0.000,0.320,0.000,2015.000,1,0,0,0.719,,,0.101,,0.080,,,0.742,0.062,0.013,,,,,,,,,,,,,,,,,,,,2
redial,train,419,15,admiration,0.936,0.000,1.000,1.000,0.962,1.000,1.000,0.962,0.377,0.693,0.320,0.000,2016.000,1,0,1,,0.598,,0.013,,0.037,,,,0.936,0.040,,,,0.022,,,,,,,,,,,,,,,,3
redial,train,419,19,disapproval,0.534,1.000,1.000,1.000,0.997,1.000,,0.997,0.352,0.693,0.517,0.000,1996.000,1,0,0,0.881,,,,,,0.058,0.534,0.378,0.042,,0.162,,,,,,,,,,,,,,,,,,,4
redial,train,426,3,admiration,0.926,1.000,1.000,1.000,0.996,,,0.996,0.250,1.099,0.419,0.000,2007.000,1,0,0,0.818,,,0.028,,0.076,,,,0.926,,,,,,,,0.007,0.009,,,,,,,,,,,,0
redial,train,426,5,fear,0.605,0.000,1.000,1.000,0.990,1.000,,0.990,0.317,1.099,0.517,0.000,1990.000,1,0,0,0.687,,,,,0.063,,,,0.219,,,0.051,,,,,,,,0.605,0.113,,,,,,,,,1
redial,train,426,7,love,0.616,1.000,1.000,1.000,0.995,1.000,,0.995,0.381,1.099,0.320,0.000,2015.000,1,0,1,,0.725,,0.378,,0.072,,,0.616,0.020,0.031,,,,,,,,,,,,,,,,,,,,2
redial,train,426,11,disapproval,0.654,0.000,1.000,1.000,0.959,1.000,,0.959,0.463,0.000,0.320,0.000,2014.000,1,0,1,,0.533,,0.110,,0.049,0.215,0.654,,,,0.042,,,,,,,,,,,,,,,,,,,3
redial,train,426,13,love,0.695,0.000,1.000,1.000,0.977,1.000,,0.977,0.390,0.000,0.546,0.000,1981.000,1,0,0,0.742,,,,,0.113,,,0.695,0.305,0.067,,,,0.034,,,,,,,,,,,,,,,,4
redial,train,426,15,approval,0.494,0.000,0.000,1.000,0.937,1.000,,0.937,0.352,0.693,0.419,0.000,2000.000,1,0,1,,0.646,,0.270,,0.494,,,0.023,0.030,,,0.024,,,,,,,,,,,,,,,,,,5
redial,train,426,21,optimism,0.928,1.000,1.000,1.000,0.996,1.000,,0.996,0.390,0.000,0.339,0.693,1996.500,2,0,1,,0.564,,,,,,,,0.311,0.139,,,,,,0.087,0.928,,,,,0.107,,,,,,,,6
redial,train,455,3,admiration,0.434,0.000,0.000,1.000,0.916,,,0.916,0.584,0.000,0.320,0.000,2014.000,1,0,0,0.795,,,,,0.250,,,,0.434,,,,,,,,0.318,0.049,,,,0.310,,,,,,,,0
redial,train,455,13,approval,0.653,0.000,1.000,1.000,0.986,1.000,,0.986,0.463,0.000,0.546,0.000,1987.000,1,0,1,,0.720,,0.284,,0.653,,,,,0.009,,0.021,,0.011,,,,,,,,,,,,,,,,1
redial,train,458,3,love,0.823,0.000,0.000,0.000,0.759,,,0.759,0.483,1.099,0.419,0.000,2007.000,1,0,1,,0.578,,,,0.038,,,0.823,0.246,0.153,,,,,0.561,,,,,,,,,,,,,,,0
redial,train,458,13,amusement,0.664,0.000,0.000,0.500,0.888,0.000,,0.892,0.408,0.693,0.320,0.000,2015.000,2,0,1,,0.963,,,,0.030,,,,0.656,0.381,,,,0.022,0.664,,,,,,,,,,,,,,,1
redial,train,459,3,love,0.930,0.000,0.000,0.000,0.873,,,0.873,0.408,0.693,0.320,0.000,2016.000,1,0,0,0.849,,,0.011,,0.092,,,0.930,0.110,0.012,,,,,,,,,,,,,,,,,,,,0
redial,train,459,5,approval,0.430,0.000,0.000,1.000,0.939,0.000,,0.939,0.408,0.693,0.320,0.000,2016.000,1,0,1,,0.631,,0.323,,0.430,,,,0.058,,,,,0.027,,,0.037,,,,,,,,,,,,,1
redial,train,461,3,love,0.696,0.000,1.000,1.000,0.987,,,0.987,0.463,0.000,0.546,0.000,1983.000,1,0,1,,0.529,,0.055,,0.088,,,0.696,0.146,0.033,,,,,,,,,,,,,,,,,,,,0
redial,train,461,5,approval,0.571,1.000,1.000,1.000,0.999,1.000,1.000,0.999,0.394,1.099,0.546,0.000,1982.000,1,0,0,0.652,,,0.229,,0.571,,,,0.220,,,0.045,,,,,0.007,,,,,,,,,,,,,1
redial,train,462,3,amusement,0.667,1.000,1.000,1.000,0.999,,1.000,0.999,0.431,1.099,0.551,0.000,1975.000,1,0,1,,0.955,,0.210,,0.020,,,,,0.121,,0.012,,,0.667,,,,,,,,,,,,,,,0
redial,train,464,1,neutral,0.813,1.000,1.000,1.000,0.999,,,0.999,0.417,1.386,0.517,0.000,1996.000,1,0,0,0.644,,,0.813,0.014,0.157,,,0.035,,,,,,,,,0.023,,,,,,,,,,,,,0
redial,train,464,3,neutral,0.963,0.000,0.000,1.000,0.934,1.000,1.000,0.936,0.175,1.906,0.320,0.000,2014.000,2,0,0,0.654,,,0.963,,0.020,,,,0.006,,0.004,0.008,,,,,,,,,,,,,,,,,,1
redial,train,465,5,neutral,0.957,1.000,1.000,1.000,0.995,,,0.995,0.398,0.693,0.419,0.000,2000.000,1,0,1,,0.698,,0.957,,0.009,0.011,0.009,,,,,0.007,,,,,,,,,,,,,,,,,,0
redial,train,466,5,neutral,0.679,0.000,0.000,1.000,0.911,,,0.911,0.588,0.693,0.320,0.000,2016.000,1,0,1,,0.830,,0.679,,0.023,0.027,0.377,,,,,0.021,,,,,,,,,,,,,,,,,,0
redial,train,466,11,admiration,0.901,1.000,1.000,1.000,0.998,1.000,,0.998,0.381,1.609,0.419,0.000,2002.000,1,0,0,0.848,,0.409,,,0.053,,,,0.901,,,,,,,0.044,0.035,,,,,,,,,,,,,1
redial,train,466,13,gratitude,0.945,0.000,0.000,1.000,0.938,1.000,,0.938,0.404,0.693,0.419,0.000,2009.000,1,0,1,,0.717,,,,0.018,,,,0.024,0.318,,,,,0.530,,,0.945,,,,,,,,,,,,2
redial,train,467,3,admiration,0.947,1.000,1.000,1.000,0.993,,,0.993,0.450,0.693,0.546,0.000,1987.000,1,0,1,,0.630,0.021,0.016,,0.045,,,0.009,0.947,,,,,,,,,,,,,,,,,,,,,0
redial,train,467,5,disapproval,0.823,0.000,0.000,0.000,0.886,0.000,,0.886,0.463,0.000,0.320,0.000,2016.000,1,0,1,,0.564,,0.035,,,0.122,0.823,,,,0.100,,,,,,,,,,,,0.043,,,,,,,1
redial,train,468,5,love,0.827,0.000,1.000,1.000,0.987,,1.000,0.987,0.455,1.099,0.581,0.000,1968.000,1,0,1,,0.514,,,,0.032,,,0.827,0.264,0.125,,,,,0.561,,,,,,,,,,,,,,,0
redial,train,469,3,admiration,0.847,0.000,1.000,1.000,0.969,,1.000,0.969,0.463,0.000,0.419,0.000,2001.000,1,0,1,,0.842,,0.057,,0.061,,,,0.847,0.018,,,,,0.020,,,,,,,,,,,,,,,0
redial,train,469,7,neutral,0.902,0.000,0.000,0.000,0.488,0.000,,0.488,0.463,0.000,0.419,0.000,2006.000,1,0,1,,0.911,,0.902,,0.010,0.021,0.029,,,,,,,,,,,,,,,,0.024,,,,,,,1
redial,train,469,13,admiration,0.858,0.000,0.000,0.000,0.873,0.000,,0.873,0.408,0.693,0.320,0.000,2016.000,1,0,1,,0.513,,0.052,,0.146,,,,0.858,,0.014,,,,,,0.019,,,,,,,,,,,,,2
redial,train,470,1,love,0.873,1.000,1.000,1.000,0.999,,,0.999,0.377,0.693,0.517,0.000,1990.000,1,0,0,0.688,,,0.026,,0.069,,,0.873,0.123,0.012,,,,,,,,,,,,,,,,,,,,0
redial,train,470,5,admiration,0.740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.390,0.000,0.667,0.000,1929.000,1,0,1,,0.749,,0.015,,0.102,,,0.561,0.740,0.039,,,,,,,,,,,,,,,,,,,,1
redial,train,471,5,amusement,0.903,0.000,1.000,1.000,0.975,,,0.975,0.417,1.099,0.419,0.000,2001.000,1,0,1,,0.760,,0.012,,0.014,,,,0.044,0.227,,,,,0.903,,,,,,,,,,,,,,,0
redial,train,471,7,admiration,0.610,0.000,1.000,1.000,0.975,1.000,,0.975,0.417,1.099,0.419,0.000,2001.000,0,1,0,0.594,,,,,0.107,,,0.539,0.610,0.109,,,,0.038,,,,,,,,,,,,,,,,1
redial,train,471,13,neutral,0.596,0.000,0.000,1.000,0.911,1.000,,0.911,0.408,0.693,0.320,0.000,2014.000,1,0,0,0.540,,0.044,0.596,0.017,0.321,,,,,,,,,,,,0.037,,,,,,,,,,,,,2
redial,train,474,1,disapproval,0.806,0.000,1.000,1.000,0.961,,,0.961,0.584,0.000,0.320,0.000,2017.000,1,0,1,,0.595,0.047,0.055,0.098,,0.149,0.806,,,,,,,,,,,,,,,,,,,,,,,0
redial,train,474,5,joy,0.837,0.000,0.000,0.000,0.000,0.000,,0.000,0.390,0.000,0.667,0.000,1929.000,1,0,1,,0.559,,0.036,,0.035,,,,,0.837,,0.024,,,,,,,,,,,,0.039,,,,,,1
redial,train,474,11,love,0.775,0.000,0.000,1.000,0.916,0.000,,0.916,0.584,0.000,0.320,0.000,2014.000,1,0,0,0.646,,,,,0.042,,,0.775,0.111,0.080,,,,0.051,,,,,,,,,,,,,,,,2
redial,train,474,13,joy,0.876,0.000,1.000,1.000,0.965,1.000,1.000,0.965,0.485,0.693,0.546,0.000,1988.000,1,0,0,0.804,,0.083,,,0.067,,,0.067,0.076,0.876,,,,,,,,,,,,,,,,,,,,3
redial,train,474,15,neutral,0.966,0.000,0.000,1.000,0.916,1.000,,0.916,0.584,0.000,0.320,0.000,2014.000,0,1,0,0.657,,,0.966,,0.014,,,,0.005,0.005,,0.007,,,,,,,,,,,,,,,,,,4
redial,train,475,7,admiration,0.929,0.500,1.000,1.000,0.991,,,0.988,0.226,1.330,0.517,0.000,1993.500,2,0,0,0.918,,,0.031,,0.107,,0.005,,0.929,,,0.007,,,,,,,,,,,,,,,,,,0
redial,train,475,9,gratitude,0.989,0.500,1.000,1.000,0.991,1.000,,0.988,0.226,1.330,0.517,0.000,1993.500,0,2,1,,0.562,,0.008,,0.010,,,,0.005,,,0.005,,,,,,0.989,,,,,,,,,,,,1
redial,train,477,11,gratitude,0.990,0.000,0.000,0.000,0.882,,0.000,0.882,0.356,0.693,0.320,0.000,2011.000,1,0,1,,0.531,,0.009,,0.063,,,,0.010,,,,,,,,0.026,0.990,,,,,,,,,,,,0
redial,train,480,3,neutral,0.968,0.000,0.000,1.000,0.943,,,0.943,0.463,0.000,0.419,0.000,2006.000,1,0,1,,0.928,,0.968,,0.014,0.005,,,0.004,,,0.007,,,,,,,,,,,,,,,,,,0
redial,train,480,5,admiration,0.877,0.500,0.500,1.000,0.964,1.000,1.000,0.970,0.388,1.609,0.419,0.000,2007.500,1,1,0,0.632,,,0.050,,0.078,,,,0.877,0.010,,,,0.007,,,,,,,,,,,,,,,,1
redial,train,480,7,confusion,0.534,1.000,1.000,1.000,0.996,1.000,1.000,0.996,0.351,1.099,0.419,0.000,2006.000,1,0,1,,0.626,0.402,0.381,0.534,,0.016,,,,,,,0.016,,,,,,,,,,,,,,,,,2
redial,train,480,9,excitement,0.314,0.000,0.000,1.000,0.909,1.000,,0.909,0.422,0.693,0.419,0.000,2004.000,1,0,1,,0.718,,0.067,,,,,,,0.082,,,,0.314,,0.162,0.066,,,,,,,,,,,,,3
redial,train,481,5,admiration,0.773,1.000,1.000,1.000,0.997,,,0.997,0.519,0.693,0.581,0.000,1960.000,1,0,0,0.711,,,0.146,,0.075,,,,0.773,0.010,,0.007,,,,,,,,,,,,,,,,,,0
redial,train,482,1,admiration,0.950,0.000,1.000,1.000,0.988,,,0.988,0.382,1.099,0.581,0.000,1961.000,1,0,0,0.649,,,0.018,,0.039,,,,0.950,,,,,,,,0.005,0.007,,,,,,,,,,,,0
redial,train,482,5,disappointment,0.547,0.000,1.000,1.000,0.974,1.000,,0.974,0.250,1.099,0.320,0.000,2016.000,1,0,1,,0.764,,0.161,,,0.032,,,,,0.547,0.031,,,,,,,0.415,,,,,,,,,,,1
redial,train,482,7,approval,0.640,0.000,1.000,1.000,0.960,1.000,,0.960,0.323,1.099,0.419,0.000,2007.000,1,0,1,,0.871,,0.189,,0.640,,,0.028,,,,,,,,0.042,0.064,,,,,,,,,,,,,2
redial,train,484,5,love,0.936,0.000,1.000,1.000,0.975,,,0.975,0.463,0.000,0.419,0.000,2008.000,1,0,0,0.784,,,0.019,,0.073,,,0.936,0.039,0.008,,,,,,,,,,,,,,,,,,,,0
redial,train,484,7,neutral,0.876,1.000,1.000,1.000,0.992,1.000,,0.992,0.238,1.386,0.546,0.000,1984.000,1,0,0,0.578,,0.009,0.876,,0.055,0.006,,0.015,,,,,,,,,,,,,,,,,,,,,,1
redial,train,484,11,love,0.684,0.000,1.000,1.000,0.981,1.000,,0.981,0.404,0.693,0.546,0.000,1988.000,1,0,0,0.508,,,0.056,,0.112,,,0.684,0.165,0.040,,,,,,,,,,,,,,,,,,,,2
redial,train,484,15,amusement,0.401,1.000,1.000,1.000,0.992,1.000,,0.992,0.238,1.386,0.546,0.000,1984.000,0,1,0,0.818,,,0.314,,0.033,,,,,0.017,,,,0.019,0.401,,,,,,,,,,,,,,,3
redial,train,485,3,neutral,0.627,0.000,1.000,1.000,0.970,,,0.972,0.255,1.550,0.419,0.000,2007.000,2,0,0,0.721,,0.466,0.627,0.064,0.011,,,,,,,,0.008,,,,,,,,,,,,,,,,,0
redial,train,485,5,neutral,0.496,0.000,1.000,1.000,0.960,1.000,0.000,0.960,0.323,1.099,0.419,0.000,2007.000,0,1,0,0.614,,,0.496,,,,,,,,,0.412,0.037,,0.040,,,,,,,,,,0.038,,,,,1
redial,train,485,7,curiosity,0.533,1.000,1.000,1.000,0.990,1.000,1.000,0.990,0.300,1.386,0.419,0.000,2002.000,1,0,0,0.745,,0.533,0.417,0.222,0.016,,,,,,,,0.011,,,,,,,,,,,,,,,,,2
redial,train,485,9,admiration,0.924,0.000,1.000,1.000,0.967,1.000,1.000,0.967,0.422,1.099,0.419,0.000,2008.000,1,0,0,0.773,,,0.020,,0.050,,,,0.924,0.030,,,,0.017,,,,,,,,,,,,,,,,3
redial,train,487,5,amusement,0.906,0.000,1.000,1.000,0.972,,,0.972,0.485,0.693,0.517,0.000,1992.000,1,0,0,0.809,,,,,0.037,,,,0.388,0.165,,0.028,,,0.906,,,,,,,,,,,,,,,0
redial,train,502,7,love,0.840,1.000,1.000,1.000,0.999,,1.000,0.999,0.483,1.099,0.517,0.000,1994.000,1,0,0,0.806,,,0.025,,0.073,,,0.840,0.234,0.017,,,,,,,,,,,,,,,,,,,,0
redial,train,502,9,gratitude,0.980,1.000,1.000,1.000,0.998,1.000,,0.997,0.420,1.352,0.517,0.000,1995.000,1,1,0,0.777,,,,,0.041,,,0.240,0.172,0.019,,,,,,,,0.980,,,,,,,,,,,,1
redial,train,503,5,realization,0.640,0.500,0.500,1.000,0.959,,,0.949,0.402,1.040,0.339,0.693,2000.000,2,0,1,,0.709,,0.230,0.085,0.036,,,,,,,0.640,0.161,,,,,,,,,,,,,,,,,0
redial,train,503,7,admiration,0.538,1.000,1.000,1.000,0.993,1.000,,0.993,0.390,0.000,0.517,0.000,1996.000,0,1,0,0.582,,,0.024,,0.335,,,0.534,0.538,0.014,,,,,,,,,,,,,,,,,,,,1
redial,train,503,9,love,0.632,0.000,0.000,1.000,0.906,1.000,,0.906,0.436,1.099,0.419,0.000,2004.000,0,1,0,0.797,,,,,0.147,,,0.632,0.146,,0.040,0.034,,,,,,,,,,,,,,,,,,2
redial,train,503,13,amusement,0.587,0.000,0.000,0.000,0.834,0.000,0.689,0.834,0.463,0.000,0.320,0.000,2016.000,1,0,0,0.897,,,0.088,,0.051,,,,0.177,0.102,,,,,0.587,,,,,,,,,,,,,,,3
redial,train,503,19,amusement,0.740,0.000,0.000,1.000,0.904,0.000,0.689,0.904,0.463,0.000,0.419,0.000,2007.000,1,0,0,0.911,,,,,0.064,,,0.045,0.295,0.248,,,,,0.740,,,,,,,,,,,,,,,4
redial,train,507,11,love,0.786,0.000,1.000,1.000,0.972,,,0.971,0.457,1.330,0.320,0.000,2014.000,2,0,0,0.601,,,0.034,,0.048,,,0.786,0.133,0.060,,,,,,,,,,,,,,,,,,,,0
redial,train,513,3,disapproval,0.567,0.000,1.000,1.000,0.974,,1.000,0.974,0.250,1.099,0.320,0.000,2016.000,1,0,0,0.865,,,0.032,,0.200,,0.567,,0.470,,0.067,,,,,,,,,,,,,,,,,,,0
redial,train,513,5,joy,0.913,0.000,0.000,0.000,0.548,0.000,,0.548,0.377,0.693,0.320,0.000,2019.000,1,0,0,0.751,,,,,0.036,,,0.031,0.060,0.913,,,,,0.058,,,,,,,,,,,,,,,1
redial,train,513,9,love,0.489,1.000,1.000,1.000,0.990,0.000,,0.990,0.619,0.000,0.320,0.000,2016.000,1,0,0,0.626,,,0.026,,0.318,,,0.489,0.423,,,,,,,,0.029,,,,,,,,,,,,,2
redial,train,516,5,joy,0.883,1.000,1.000,1.000,0.990,,,0.990,0.619,0.000,0.320,0.000,2016.000,1,0,0,0.626,,,0.033,,0.032,,,,,0.883,,,,,0.028,,,,,,,,,0.026,,,,,,0
redial,train,518,3,admiration,0.938,1.000,1.000,1.000,0.990,,,0.990,0.619,0.000,0.320,0.000,2016.000,1,0,0,0.686,,,0.017,,0.084,,,0.010,0.938,0.008,,,,,,,,,,,,,,,,,,,,0
redial,train,518,5,love,0.926,0.000,1.000,1.000,0.975,1.000,,0.975,0.493,1.099,0.320,0.000,2017.000,1,0,0,0.766,,,0.010,,0.028,,,0.926,0.191,0.026,,,,,,,,,,,,,,,,,,,,1
redial,train,518,17,gratitude,0.984,0.000,1.000,1.000,0.979,1.000,,0.979,0.429,0.693,0.419,0.000,2003.000,1,0,0,0.630,,,0.006,,0.022,,,,0.300,,,0.007,,,,,,0.984,,,,,,,,,,,,2
redial,train,519,5,admiration,0.942,0.000,0.000,1.000,0.935,,1.000,0.935,0.429,0.693,0.320,0.000,2015.000,1,0,0,0.664,,,0.025,,0.044,,,,0.942,,,0.005,,,,,,0.006,,,,,,,,,,,,0
redial,train,519,7,neutral,0.660,0.000,1.000,1.000,0.970,1.000,,0.970,0.404,0.693,0.419,0.000,2007.000,1,0,1,,0.812,,0.660,0.028,,,0.410,,,,0.022,0.024,,,,,,,,,,,,,,,,,,1
redial,train,519,9,love,0.723,0.000,1.000,1.000,0.979,1.000,,0.979,0.429,0.693,0.419,0.000,2003.000,1,0,0,0.681,,,0.034,,0.338,,,0.723,0.148,0.016,,,,,,,,,,,,,,,,,,,,2
redial,train,519,13,admiration,0.654,0.000,1.000,1.000,0.970,1.000,1.000,0.970,0.404,0.693,0.419,0.000,2007.000,0,1,0,0.548,,,0.042,,0.141,,0.092,,0.654,,0.107,,,,,,,,,,,,,,,,,,,3
redial,train,522,3,confusion,0.630,0.000,0.000,1.000,0.916,,,0.916,0.463,1.099,0.320,0.000,2017.000,1,0,1,,0.560,0.389,0.307,0.630,,,0.023,,,,,,0.015,,,,,,,,,,,,,,,,,0
redial,train,522,7,admiration,0.935,0.000,1.000,1.000,0.961,1.000,,0.961,0.584,0.000,0.320,0.000,2017.000,1,0,0,0.757,,,0.016,,0.040,,,,0.935,0.019,,,,0.019,,,,,,,,,,,,,,,,1
redial,train,533,3,disapproval,0.742,0.000,1.000,1.000,0.982,,,0.982,0.483,1.099,0.320,0.000,2017.000,1,0,0,0.824,,0.220,0.071,0.251,,,0.742,,,,0.093,,,,,,,,,,,,,,,,,,,0
redial,train,533,11,admiration,0.889,0.000,1.000,1.000,0.961,1.000,,0.961,0.584,0.000,0.320,0.000,2017.000,1,0,1,,0.640,,,,0.097,,,0.088,0.889,,,,,,,0.066,0.271,,,,,,,,,,,,,1
redial,train,533,13,amusement,0.826,0.000,0.000,0.000,0.892,0.000,,0.892,0.566,0.000,0.320,0.000,2017.000,1,0,1,,0.961,,,,0.626,0.037,,,0.048,0.051,,,,,0.826,,,,,,,,,,,,,,,2
redial,train,538,3,disapproval,0.650,0.000,1.000,1.000,0.982,,1.000,0.982,0.483,1.099,0.320,0.000,2017.000,1,0,1,,0.575,,0.069,,0.066,,0.650,,0.416,,0.050,,,,,,,,,,,,,,,,,,,0
redial,train,540,3,admiration,0.880,1.000,1.000,1.000,0.991,,,0.991,0.320,1.386,0.517,0.000,1996.000,1,0,0,0.809,,0.116,,0.290,0.110,,,,0.880,,,,,0.056,,,,,,,,,,,,,,,,0
redial,train,540,15,neutral,0.631,0.000,1.000,1.000,0.959,1.000,,0.959,0.252,1.609,0.546,0.000,1986.000,1,0,0,0.629,,,0.631,,0.091,,0.091,,,,0.010,0.084,,,,,,,,,,,,,,,,,,1
